feature,direction,phase_compared,pooled
RPS15A,down,post_vs_pre_pooled,-1.50716172455512
RPS3,down,post_vs_pre_pooled,-1.51093211945741
MTRNR2L12,up,post_vs_pre_pooled,2.28744653691928
HLA-B,down,post_vs_pre_pooled,-1.36365084031849
TMSB4X,down,post_vs_pre_pooled,-1.49331291933728
RPL27A,down,post_vs_pre_pooled,-1.47025983433893
RPL11,down,post_vs_pre_pooled,-1.46170725973703
RPL34,down,post_vs_pre_pooled,-1.45591230567185
RPS23,down,post_vs_pre_pooled,-1.44335883644288
RPL39,down,post_vs_pre_pooled,-1.42375432869342
FAU,down,post_vs_pre_pooled,-1.40683315931814
RPL18,down,post_vs_pre_pooled,-1.39610727840201
RPL32,down,post_vs_pre_pooled,-1.32542926072085
RPL37A,down,post_vs_pre_pooled,-1.363968992715
HLA-C,down,post_vs_pre_pooled,-1.31277408747604
RPL17,down,post_vs_pre_pooled,-1.29209854135623
EEF1A1,down,post_vs_pre_pooled,-1.25071636461656
MT-CO3,down,post_vs_pre_pooled,-1.13577435027791
MBNL1,up,post_vs_pre_pooled,1.23288454404673
RPL23A,down,post_vs_pre_pooled,-1.21569010536816
RPS4X,down,post_vs_pre_pooled,-1.26654441483467
RPS20,down,post_vs_pre_pooled,-1.22874983728745
RPS21,down,post_vs_pre_pooled,-1.23966430404508
RPL21,down,post_vs_pre_pooled,-1.17093131206652
RPS6,down,post_vs_pre_pooled,-1.20195127994101
RPL35A,down,post_vs_pre_pooled,-1.18027463625295
RPS25,down,post_vs_pre_pooled,-1.1644559457721
RPL15,down,post_vs_pre_pooled,-1.15356806770295
RPS17,down,post_vs_pre_pooled,-1.18262160246653
RPS24,down,post_vs_pre_pooled,-1.11143327494919
EIF1,down,post_vs_pre_pooled,-1.12151543791833
RPL9,down,post_vs_pre_pooled,-1.14121474424405
HLA-A,down,post_vs_pre_pooled,-1.1191048972584
TPT1,down,post_vs_pre_pooled,-1.06834283412804
RPL37,down,post_vs_pre_pooled,-1.11829910433532
RPS8,down,post_vs_pre_pooled,-1.10838962165141
RIPOR2,up,post_vs_pre_pooled,1.10825921706654
NKG7,down,post_vs_pre_pooled,-1.41364220999861
RPS9,down,post_vs_pre_pooled,-1.10022828852297
RPS13,down,post_vs_pre_pooled,-1.11415805007068
RPL23,down,post_vs_pre_pooled,-1.10918910018543
MT-ND3,down,post_vs_pre_pooled,-1.01655480755118
RPS5,down,post_vs_pre_pooled,-1.0829516653037
RPSA,down,post_vs_pre_pooled,-1.08566956972457
RPL36,down,post_vs_pre_pooled,-1.08664571434214
S100A4,down,post_vs_pre_pooled,-1.18187075138265
RPL26,down,post_vs_pre_pooled,-1.05082942519009
RPS7,down,post_vs_pre_pooled,-1.05869654845754
UBA52,down,post_vs_pre_pooled,-1.03319130881643
PFN1,down,post_vs_pre_pooled,-1.12813967022235
PTMA,down,post_vs_pre_pooled,-1.0381995459885
RPS3A,down,post_vs_pre_pooled,-1.01703396622616
RPS26,down,post_vs_pre_pooled,-1.05735791260622
RPL8,down,post_vs_pre_pooled,-1.02141624168527
RPL29,down,post_vs_pre_pooled,-1.01115648722212
RPL10A,down,post_vs_pre_pooled,-1.01037125023605
TMSB10,down,post_vs_pre_pooled,-1.00357883001138
CXCR4,down,post_vs_pre_pooled,-1.02530317289032
THEMIS,up,post_vs_pre_pooled,1.14045960465782
CCL5,down,post_vs_pre_pooled,-1.02906141285104
GNLY,down,post_vs_pre_pooled,-1.66994260184759
DPYD,up,post_vs_pre_pooled,1.11016754878914
HLA-B,down,post_vs_pre_pooled,-1.08771402426326
RPL41,down,post_vs_pre_pooled,-1.16442809482371
RPL13,down,post_vs_pre_pooled,-1.13167847000204
RPS11,down,post_vs_pre_pooled,-1.12068932003344
RPL13A,down,post_vs_pre_pooled,-1.07500324864489
RPS27,down,post_vs_pre_pooled,-1.0403860087565
RPL37A,down,post_vs_pre_pooled,-1.00268503930428
RPS2,down,post_vs_pre_pooled,-1.06814591048668
EEF1A1,down,post_vs_pre_pooled,-1.05412449752659
ARHGAP24,up,post_vs_pre_pooled,1.07359425220315
B2M,down,post_vs_pre_pooled,-1.11007837542701
ACTB,down,post_vs_pre_pooled,-1.22828370255702
RPLP1,down,post_vs_pre_pooled,-1.06082472214261
TMSB4X,down,post_vs_pre_pooled,-1.03011645125905
LYZ,down,post_vs_pre_pooled,-1.45152446496105
AC105402.3,up,post_vs_pre_pooled,1.69242369243117
RPS11,down,post_vs_pre_pooled,-1.98014572661844
B2M,down,post_vs_pre_pooled,-2.22492945912052
TMSB4X,down,post_vs_pre_pooled,-2.31293642013711
RPS19,down,post_vs_pre_pooled,-2.20785309939798
RPL41,down,post_vs_pre_pooled,-2.19479222252547
RPS27,down,post_vs_pre_pooled,-2.03252573749664
RPL13,down,post_vs_pre_pooled,-1.99783024547105
RPL10,down,post_vs_pre_pooled,-2.02908117945549
RPL13A,down,post_vs_pre_pooled,-1.88086924142808
RPL34,down,post_vs_pre_pooled,-1.83252799326717
ACTB,down,post_vs_pre_pooled,-2.02788547327834
EEF1A1,down,post_vs_pre_pooled,-1.87187265039494
RPLP1,down,post_vs_pre_pooled,-1.76644222204432
